species,Guild,source
Hadena compta,Moths,original
Tapinoma erraticum,Ants,original
Lycaena phlaeas,Butterflies,original
Trigonophora flammea,Moths,original
Clossiana titania,Butterflies,original
Libythea celtis,Butterflies,original
Setina irrorella,Moths,original
Collita griseola,Moths,original
Leptidea sinapis,Butterflies,original
Lasionycta proxima,Moths,original
Plagodis dolabraria,Moths,original
Satyrus actaea,Butterflies,original
Nordmannia ilicis,Butterflies,original
Erebia medusa,Butterflies,original
Manulea complana,Moths,original
Acronicta auricoma,Moths,original
Pseudoterpna pruinata,Moths,original
Merodon avidus,Hoverflies,original
Nebula nebulata,Moths,original
Xestia c-nigrum,Moths,original
Ceramica pisi,Moths,original
Catoptria pinella,Moths,original
Aphantopus hyperantus,Butterflies,original
Pachycnemia hippocastanaria,Moths,original
Cryphia algae,Moths,original
Hamearis lucina,Butterflies,original
Arethusana arethusa,Butterflies,original
Lasius alienus,Ants,original
Scopula immorata,Moths,original
Luperina testacea,Moths,original
Hoplodrina octogenaria,Moths,original
Aphomia sociella,Moths,original
Melitaea diamina,Butterflies,original
Pararge petropolitana,Butterflies,original
Anarta odontites,Moths,original
Meliscaeva auricollis,Hoverflies,original
Notodonta ziczac,Moths,original
Eudonia delunella,Moths,original
Lasiocampa quercus,Moths,original
Megachile pyrenaica,Wild Bees,original
Zeuzera pyrina,Moths,original
Ourapteryx sambucaria,Moths,original
Eupeodes corollae,Hoverflies,original
Deltote pygarga,Moths,original
Sphinx pinastri,Moths,original
Palaeochrysophanus hippothoe,Butterflies,original
Bombus mesomelas,Bumblebees,original
Acronicta leporina,Moths,original
Lygephila lusoria,Moths,original
Hypomecis punctinalis,Moths,original
Pieris mannii,Butterflies,original
Apamea sublustris,Moths,original
Mellicta varia,Butterflies,original
Litoligia literosa,Moths,original
Acronicta megacephala,Moths,original
Heliothis peltigera,Moths,original
Cabera pusaria,Moths,original
Zerynthia rumina,Butterflies,original
Pyrausta alpinalis,Moths,original
Mythimna anderreggii,Moths,original
Cheilosia mutabilis,Hoverflies,original
Satyrus briseis,Butterflies,original
Idaea flaveolaria,Moths,original
Cossus cossus,Moths,original
Drymonia dodonaea,Moths,original
Peribatodes perversaria,Moths,original
Mikiola fagi,Other Flies,original
Bombus wurflenii,Bumblebees,original
Thetidia smaragdaria,Moths,original
Catarhoe cuculata,Moths,original
Agrochola litura,Moths,original
Xestia triangulum,Moths,original
Acontia trabealis,Moths,original
Eublemma purpurina,Moths,original
Bryophila galathea,Moths,original
Pyrgus armoricanus,Butterflies,original
Cosmorhoe ocellata,Moths,original
Katha depressa,Moths,original
Catoptria radiella,Moths,original
Camponotus aethiops,Ants,original
Zygaena erythrus,Moths,original
Triodia sylvina,Moths,original
Lathronympha strigana,Moths,original
Vanessa cardui,Butterflies,original
Lacanobia contigua,Moths,original
Halictus rubicundus,Wild Bees,original
Gluphisia crenata,Moths,original
Mythimna conigera,Moths,original
Lomographa bimaculata,Moths,original
Chelostoma grande,Wild Bees,original
Formica selysi,Ants,original
Orthosia gothica,Moths,original
Endotricha flammealis,Moths,original
Tephrina murinaria,Moths,original
Pieris bryoniae,Butterflies,original
Eulithis prunata,Moths,original
Cyclophora annularia,Moths,original
Anthophora aestivalis,Wild Bees,original
Lysandra bellargus,Butterflies,original
Autographa bractea,Moths,original
Scoliopteryx libatrix,Moths,original
Aspitates ochrearia,Moths,original
Spatalia argentina,Moths,original
Aricia artaxerxes,Butterflies,original
Pyrgus cacaliae,Butterflies,original
Ecliptopera silaceata,Moths,original
Lasiommata maera,Butterflies,original
Colias palaeno,Butterflies,original
Perizoma blandiata,Moths,original
Gillmeria pallidactyla,Moths,original
Platytes cerusella,Moths,original
Psodos quadrifaria,Moths,original
Saturnia pavonia,Moths,original
Elkalyce alcetas,Butterflies,original
Ematurga atomaria,Moths,original
Perizoma albulata,Moths,original
Eurrhypis pollinalis,Moths,original
Thalpophila matura,Moths,original
Siona lineata,Moths,original
Rhodostrophia vibicaria,Moths,original
Sphaerophoria scripta,Hoverflies,original
Myelois cribrella,Moths,original
Cyaniris semiargus,Butterflies,original
Scotopteryx bipunctaria,Moths,original
Erebia neoridas,Butterflies,original
Carcina quercana,Moths,original
Eupithecia icterata,Moths,original
Syritta pipiens,Hoverflies,original
Idaea ostrinaria,Moths,original
Nymphalis antiopa,Butterflies,original
Scotopteryx angularia,Moths,original
Lampides boeticus,Butterflies,original
Syrphus torvus,Hoverflies,original
Chloroclysta siterata,Moths,original
Epicallia villica,Moths,original
Thymelicus sylvestris,Butterflies,original
Chersotis alpestris,Moths,original
Zygaena carniolica,Moths,original
Heliothis viriplaca,Moths,original
Scotopteryx moeniata,Moths,original
Chloantha hyperici,Moths,original
Halictus scabiosae,Wild Bees,original
Pennithera firmata,Moths,original
Tetramorium caespitum,Ants,original
Proserpinus proserpina,Moths,original
Megachile willughbiella,Wild Bees,original
Pyrgus onopordi,Butterflies,original
Dysstroma citrata,Moths,original
Malacosoma castrense,Moths,original
Idaea rusticata,Moths,original
Cucullia lactucae,Moths,original
Eupsilia transversa,Moths,original
Euxoa nigricans,Moths,original
Tyria jacobaeae,Moths,original
Eupithecia haworthiata,Moths,original
Callophrys rubi,Butterflies,original
Tortrix viridana,Moths,original
Bombus pyrenaeus,Bumblebees,original
Boloria napaea,Butterflies,original
Eupithecia semigraphata,Moths,original
Thymelicus lineola,Butterflies,original
Idaea dilutaria,Moths,original
Orthosia cerasi,Moths,original
Agriphila straminella,Moths,original
Notodonta dromedarius,Moths,original
Atethmia centrago,Moths,original
Valeria jaspidea,Moths,original
Polyphaenis sericata,Moths,original
Mellicta parthenoides,Butterflies,original
Lasioglossum leucozonium,Wild Bees,original
Thyris fenestrella,Moths,original
Sphecodes gibbus,Wild Bees,original
Idaea trigeminata,Moths,original
Erebia pronoe,Butterflies,original
Conistra rubiginea,Moths,original
Formica pressilabris,Ants,original
Epiblema foenella,Moths,original
Myathropa florea,Hoverflies,original
Halictus sexcinctus,Wild Bees,original
Campaea margaritaria,Moths,original
Bombus lucorum,Bumblebees,original
Polyommatus daphnis,Butterflies,original
Pseudophilotes baton,Butterflies,original
Polymixis xanthomista,Moths,original
Hoplitis loti,Wild Bees,original
Xylena exsoleta,Moths,original
Lasius fuliginosus,Ants,original
Melanostoma mellina,Hoverflies,original
Erebia pharte,Butterflies,original
Zygaena trifolii,Moths,original
Xanthorhoe ferrugata,Moths,original
Asthena albulata,Moths,original
Diasemia reticularis,Moths,original
Enargia paleacea,Moths,original
Bombus ruderarius,Bumblebees,original
Lasioglossum albipes,Wild Bees,original
Polygonia c-album,Butterflies,original
Agriphila tristellus,Moths,original
Graellsia isabellae,Moths,original
Pyrgus andromedae,Butterflies,original
Standfussiana lucernea,Moths,original
Zygaena hilaris,Moths,original
Catocala fraxini,Moths,original
Meliscaeva cinctella,Hoverflies,original
Hylaeus hyalinatus,Wild Bees,original
Polyommatus thersites,Butterflies,original
Myrmica ruginodis,Ants,original
Acontia lucida,Moths,original
Trisateles emortualis,Moths,original
Tephronia sepiaria,Moths,original
Scoparia pyralella,Moths,original
Cidaria fulvata,Moths,original
Euchalcia variabilis,Moths,original
Selenia lunularia,Moths,original
Chrysotoxum bicincta,Hoverflies,original
Hypena obesalis,Moths,original
Sideridis reticulata,Moths,original
Timandra comae,Moths,original
Scopula marginepunctata,Moths,original
Triphosa tauteli,Moths,original
Euplexia lucipara,Moths,original
Ceratina cyanea,Wild Bees,original
Zeiraphera griseana,Moths,original
Zygaena loti,Moths,original
Camponotus ligniperdus,Ants,original
Oeneis aello,Butterflies,original
Melitaea athalia,Butterflies,original
Thyatira batis,Moths,original
Zygaena lonicerae,Moths,original
Laothoe populi,Moths,original
Hadena albimacula,Moths,original
Isturgia limbaria,Moths,original
Eristalis tenax,Hoverflies,original
Hoplitis leucomelana,Wild Bees,original
Agrodiaetus dolus,Butterflies,original
Spargania luctuata,Moths,original
Pyrausta aerealis,Moths,original
Erebia mnestra,Butterflies,original
Andrena nigroaenea,Wild Bees,original
Udea austriacalis,Moths,original
Drymonia querna,Moths,original
Scopula rubiginata,Moths,original
Polia bombycina,Moths,original
Harpyia milhauseri,Moths,original
Parnassius corybas,Butterflies,original
Spilosoma lubricipeda,Moths,original
Xestia stigmatica,Moths,original
Paidia rica,Moths,original
Camponotus lateralis,Ants,original
Xanthorhoe spadicearia,Moths,original
Noctua pronuba,Moths,original
Caradrina selini,Moths,original
Malacosoma alpicola,Moths,original
Crambus nemorella,Moths,original
Pseudoaricia nicias,Butterflies,original
Apamea lateritia,Moths,original
Halictus maculatus,Wild Bees,original
Bombus mucidus,Bumblebees,original
Colletes hederae,Wild Bees,original
Saturnia pyri,Moths,original
Nomophila noctuella,Moths,original
Epirrhoe galiata,Moths,original
Anania funebris,Moths,original
Phragmatobia fuliginosa,Moths,original
Cynaeda dentalis,Moths,original
Lycia hirtaria,Moths,original
Crocallis elinguaria,Moths,original
Dicallomera fascelina,Moths,original
Lomographa temerata,Moths,original
Pempelia palumbella,Moths,original
Pleurota pungitiella,Moths,original
Colocasia coryli,Moths,original
Scotopteryx luridata,Moths,original
Epirrhoe alternata,Moths,original
Heterogynis penella,Moths,original
Pachetra sagittigera,Moths,original
Euclidia mi,Moths,original
Laphria flava,Other Flies,original
Udea rhododendronalis,Moths,original
Cyclophora linearia,Moths,original
Acronicta psi,Moths,original
Petrophora chlorosata,Moths,original
Diloba caeruleocephala,Moths,original
Tethea or,Moths,original
Erebia manto,Butterflies,original
Osmia bicornis,Wild Bees,original
Chloromyia formosa,Other Flies,original
Eupithecia subfuscata,Moths,original
Erebia triarius,Butterflies,original
Tachina grossa,Other Flies,original
Erebia pluto,Butterflies,original
Palpita vitrealis,Moths,original
Megachile parietina,Wild Bees,original
Leptidea duponcheli,Butterflies,original
Diarsia mendica,Moths,original
Pontia daplidice,Butterflies,original
Hyles livornica,Moths,original
Pieris napi,Butterflies,original
Atolmis rubricollis,Moths,original
Mimas tiliae,Moths,original
Melanostoma scalare,Hoverflies,original
Formica rufa,Ants,original
